time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-05-04T18:28:19.170Z,37.5551667,-118.4291667,5.076,4.1,ml,30,104,0.01351,0.05,nc,nc211901,2016-12-18T08:44:09.910Z,"Central California",earthquake,0.26,0.51,,0,reviewed,nc,nc
1991-05-04T01:18:54.600Z,36.575,-89.825,11.2,4.5,md,,,,,nm,nm603867,2017-04-13T22:03:31.588Z,"12km E of Malden, Missouri",earthquake,,,,,reviewed,nm,nm
1991-05-01T10:09:00.500Z,37.0655,-121.8866667,12.988,3.7,ml,96,60,0.03784,0.08,nc,nc211652,2016-12-18T08:33:41.980Z,"Northern California",earthquake,0.15,0.28,,0,reviewed,nc,nc
1991-04-28T01:32:14.420Z,40.383,-124.5665,26.426,4.7,ml,49,228,0.3423,0.09,nc,nc211426,2016-12-18T08:25:31.600Z,"offshore Northern California",earthquake,0.56,1.37,,0,reviewed,nc,nc
1991-04-22T01:01:20.270Z,37.941,-80.207,14.7,3.5,mblg,,,,,us,usp0004qn8,2014-11-07T00:48:26.067Z,"West Virginia",earthquake,,,,,reviewed,bla,bla
1991-04-21T14:52:10.170Z,31.8,-116.218,5.468,3.54,ml,0,263.9,,0.474,ci,ci2017022,2016-02-04T22:23:45.700Z,"34km ENE of Maneadero, B.C., MX",earthquake,,,,6,reviewed,ci,ci
1991-04-20T19:41:53.070Z,37.4183333,-121.6931667,6.988,4.1,ml,99,36,0.06757,0.06,nc,nc210980,2016-12-18T08:00:49.670Z,"Northern California",earthquake,0.11,0.46,,0,reviewed,nc,nc
1991-04-20T12:56:51.610Z,38.0723333,-112.7875,9.59,4.63,md,20,152,0.1689,0.35,uu,uu50057355,2018-08-28T04:21:40.510Z,"Utah",earthquake,1.45,1.1,,4,reviewed,uu,uu
1991-04-16T15:30:00.690Z,37.2453333,-116.4416667,0.01,5.06,ml,122,237,,0.4,ci,ci2016705,2016-04-02T12:05:23.214Z,"46km NE of Beatty, NV",nuclear explosion,99,31.61,0.123,8,reviewed,ci,ci
1991-04-15T05:31:13.130Z,48.0271667,-119.863,11.254,3.9,md,14,167,,0.19,uw,uw10273473,2016-07-23T22:19:11.450Z,"Washington",earthquake,0.058,0.06,0.01,22,reviewed,uw,uw
1991-04-13T20:51:29.930Z,37.5686667,-118.8696667,4.294,3.6,ml,35,87,0.04054,0.05,nc,nc210534,2016-12-18T07:39:36.060Z,"Central California",earthquake,0.22,0.44,,0,reviewed,nc,nc
1991-04-12T19:45:06.770Z,34.508,-119.015,2.942,3.69,ml,0,27,,0.142,ci,ci694013,2016-02-04T23:19:50.510Z,"15km NW of Fillmore, CA",earthquake,,0.02,,24,reviewed,ci,ci
1991-04-09T07:51:20.180Z,33.471,-118.263,6.784,3.58,ml,0,85.2,,0.167,ci,ci2016096,2016-02-04T22:46:11.110Z,"16km NNE of Avalon, CA",earthquake,,2.003,,41,reviewed,ci,ci
